Date_reported,ind_cum_cases,usa_cum_cases,brazil_cum_cases,russia_cum_cases,ind_new_cases,usa_new_cases,china_new_cases,russia_new_cases,brazil_new_cases
2020-01-03,0,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,1,0,0
2020-01-05,0,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,3,0,0
2020-01-07,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,41,0,0
2020-01-13,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,4,0,0
2020-01-18,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,76,0,0
2020-01-20,0,1,0,0,0,1,77,0,0
2020-01-21,0,1,0,0,0,0,93,0,0
2020-01-22,0,1,0,0,0,0,147,0,0
2020-01-23,0,1,0,0,0,0,132,0,0
2020-01-24,0,1,0,0,0,0,261,0,0
2020-01-25,0,9,0,0,0,8,462,0,0
2020-01-26,0,9,0,0,0,0,688,0,0
2020-01-27,0,9,0,0,0,0,776,0,0
2020-01-28,0,9,0,0,0,0,1772,0,0
2020-01-29,0,9,0,0,0,0,1464,0,0
2020-01-30,1,9,0,0,1,0,1739,0,0
2020-01-31,5,16,0,2,4,7,1984,2,0
2020-02-01,5,16,0,2,0,0,2101,0,0
2020-02-02,2,16,0,2,-3,0,2590,0,0
2020-02-03,3,16,0,2,1,0,2827,0,0
2020-02-04,7,16,0,2,4,0,3233,0,0
2020-02-05,7,16,0,2,0,0,3892,0,0
2020-02-06,7,16,0,2,0,0,3697,0,0
2020-02-07,7,26,0,2,0,10,3151,0,0
2020-02-08,7,26,0,2,0,0,3387,0,0
2020-02-09,7,26,0,2,0,0,2653,0,0
2020-02-10,7,26,0,2,0,0,2984,0,0
2020-02-11,7,26,0,2,0,0,2473,0,0
2020-02-12,7,26,0,2,0,0,2022,0,0
2020-02-13,7,26,0,2,0,0,15152,0,0
2020-02-14,7,36,0,2,0,10,4050,0,0
2020-02-15,7,36,0,2,0,0,2644,0,0
2020-02-16,7,36,0,2,0,0,2008,0,0
2020-02-17,7,36,0,2,0,0,2051,0,0
2020-02-18,7,36,0,2,0,0,1893,0,0
2020-02-19,7,36,0,2,0,0,1750,0,0
2020-02-20,7,36,0,2,0,0,397,0,0
2020-02-21,7,52,0,2,0,16,893,0,0
2020-02-22,7,52,0,2,0,0,825,0,0
2020-02-23,7,52,0,2,0,0,649,0,0
2020-02-24,7,52,0,2,0,0,220,0,0
2020-02-25,7,52,0,2,0,0,517,0,0
2020-02-26,7,52,0,2,0,0,411,0,0
2020-02-27,7,52,1,2,0,0,440,0,1
2020-02-28,7,83,1,2,0,31,329,0,0
2020-02-29,7,83,1,2,0,0,430,0,0
2020-03-01,7,83,1,2,0,0,579,0,0
2020-03-02,5,83,2,2,-2,0,206,0,1
2020-03-03,9,83,2,3,4,0,128,1,0
2020-03-04,28,83,2,3,19,0,120,0,0
2020-03-05,29,83,2,3,1,0,143,0,0
2020-03-06,31,203,3,4,2,120,145,1,1
2020-03-07,34,203,8,4,3,0,103,0,5
2020-03-08,39,203,13,7,5,0,46,3,5
2020-03-09,44,203,19,7,5,0,45,0,6
2020-03-10,50,203,25,7,6,0,20,0,6
2020-03-11,60,203,25,7,10,0,31,0,0
2020-03-12,73,203,34,20,13,0,25,13,9
2020-03-13,81,1438,60,34,8,1235,11,14,26
2020-03-14,84,1438,77,34,3,0,30,0,17
2020-03-15,107,1438,84,34,23,0,27,0,7
2020-03-16,114,1438,121,34,7,0,29,0,37
2020-03-17,137,1438,200,93,23,0,40,59,79
2020-03-18,151,1438,234,93,14,0,34,0,34
2020-03-19,173,1438,291,147,22,0,86,54,57
2020-03-20,223,9909,428,199,50,8471,63,52,137
2020-03-21,283,9909,428,253,60,0,116,54,0
2020-03-22,360,9909,904,306,77,0,82,53,476
2020-03-23,434,9909,904,438,74,0,103,132,0
2020-03-24,519,9909,1546,495,85,0,146,57,642
2020-03-25,606,9909,1891,658,87,0,101,163,345
2020-03-26,649,9909,2201,840,43,0,113,182,310
2020-03-27,724,70502,2433,1036,75,60593,117,196,232
2020-03-28,909,70502,2915,1264,185,0,135,228,482
2020-03-29,979,70502,3417,1534,70,0,128,270,502
2020-03-30,1071,70502,3903,1837,92,0,106,303,486
2020-03-31,1251,70502,4256,2337,180,0,98,500,353
2020-04-01,1637,70502,4579,2777,386,0,86,440,323
2020-04-02,1965,70502,5717,2777,328,0,93,0,1138
2020-04-03,2301,229769,6836,3548,336,159267,78,771,1119
2020-04-04,2902,229769,7910,4149,601,0,73,601,1074
2020-04-05,3374,229769,9056,4731,472,0,55,582,1146
2020-04-06,4067,229769,10278,5389,693,0,75,658,1222
2020-04-07,4421,229769,11130,6343,354,0,67,954,852
2020-04-08,5274,229769,12056,7497,853,0,85,1154,926
2020-04-09,5865,229769,13717,10131,591,0,92,2634,1661
2020-04-10,6412,448836,15927,11917,547,219067,56,1786,2210
2020-04-11,7447,448836,17857,13584,1035,0,64,1667,1930
2020-04-12,8356,448836,19638,15770,909,0,113,2186,1781
2020-04-13,9152,448836,20727,18328,796,0,115,2558,1089
2020-04-14,10363,448836,22169,21102,1211,0,99,2774,1442
2020-04-15,11439,448836,23430,24490,1076,0,49,3388,1261
2020-04-16,12380,448836,25262,27938,941,0,52,3448,1832
2020-04-17,13387,655683,28320,32008,1007,206847,27,4070,3058
2020-04-18,14378,655683,30425,36793,991,0,356,4785,2105
2020-04-19,15712,655683,33682,42853,1334,0,21,6060,3257
2020-04-20,17265,655683,36599,47121,1553,0,36,4268,2917
2020-04-21,18601,655683,38654,52763,1336,0,13,5642,2055
2020-04-22,19984,655683,40581,57999,1383,0,37,5236,1927
2020-04-23,21393,655683,43079,62773,1409,0,15,4774,2498
2020-04-24,23077,857408,45757,68622,1684,201725,9,5849,2678
2020-04-25,24506,857408,49492,74588,1429,0,13,5966,3735
2020-04-26,26496,857408,52995,80949,1990,0,14,6361,3503
2020-04-27,27892,857408,58509,87147,1396,0,3,6198,5514
2020-04-28,29435,857408,61888,93558,1543,0,6,6411,3379
2020-04-29,31332,857408,66501,99399,1897,0,22,5841,4613
2020-04-30,33050,857408,71886,106498,1718,0,4,7099,5385
2020-05-01,35043,1052619,78162,114431,1993,195211,12,7933,6276
2020-05-02,37336,1052619,85380,124054,2293,0,3,9623,7218
2020-05-03,39980,1052619,91589,134687,2644,0,5,10633,6209
2020-05-04,42533,1052619,96559,145268,2553,0,7,10581,4970
2020-05-05,46433,1052619,101147,155370,3900,0,4,10102,4588
2020-05-06,49391,1052619,107780,165929,2958,0,2,10559,6633
2020-05-07,52952,1052619,114715,177160,3561,0,3,11231,6935
2020-05-08,56342,1239969,125218,187859,3390,187350,6,10699,10503
2020-05-09,59662,1239969,135106,198676,3320,0,1,10817,9888
2020-05-10,62939,1239969,145328,209688,3277,0,14,11012,10222
2020-05-11,67152,1239969,155939,221344,4213,0,20,11656,10611
2020-05-12,70756,1239969,162699,232243,3604,0,1,10899,6760
2020-05-13,74281,1239969,168331,242271,3525,0,7,10028,5632
2020-05-14,78003,1239969,177589,252245,3722,0,6,9974,9258
2020-05-15,81970,1398775,188974,262843,3967,158806,5,10598,11385
2020-05-16,85940,1398775,202918,272043,3970,0,9,9200,13944
2020-05-17,90927,1398775,218223,281752,4987,0,6,9709,15305
2020-05-18,96169,1398775,233142,290678,5242,0,10,8926,14919
2020-05-19,101139,1398775,241080,299941,4970,0,6,9263,7938
2020-05-20,106750,1398775,254220,308705,5611,0,5,8764,13140
2020-05-21,112359,1398775,271628,317554,5609,0,2,8849,17408
2020-05-22,118447,1557074,291579,326448,6088,158299,13,8894,19951
2020-05-23,125101,1557074,310087,335882,6654,0,2,9434,18508
2020-05-24,131868,1557074,330890,344481,6767,0,3,8599,20803
2020-05-25,138845,1557074,347398,353427,6977,0,11,8946,16508
2020-05-26,145380,1557074,363211,362342,6535,0,7,8915,15813
2020-05-27,151767,1557074,374898,370680,6387,0,1,8338,11687
2020-05-28,158333,1557074,391222,379051,6566,0,3,8371,16324
2020-05-29,165799,1701866,411821,387623,7466,144792,0,8572,20599
2020-05-30,173763,1701866,438238,396575,7964,0,18,8952,26417
2020-05-31,182143,1701866,465166,405843,8380,0,5,9268,26928
2020-06-01,190535,1701866,498440,414878,8392,0,18,9035,33274
2020-06-02,198706,1701866,514849,423741,8171,0,9,8863,16409
2020-06-03,207615,1701866,526447,432277,8909,0,5,8536,11598
2020-06-04,216919,1701866,555383,441108,9304,0,1,8831,28936
2020-06-05,226770,1846526,584016,449834,9851,144660,11,8726,28633
2020-06-06,236657,1846526,614941,458689,9887,0,6,8855,30925
2020-06-07,246628,1846526,645771,467673,9971,0,9,8984,30830
2020-06-08,256611,1846526,672846,476658,9983,0,5,8985,27075
2020-06-09,266598,1846526,691758,485253,9987,0,1,8595,18912
2020-06-10,276583,1846526,707412,493657,9985,0,6,8404,15654
2020-06-11,286579,1846526,739503,502436,9996,0,11,8779,32091
2020-06-12,297535,1989610,772416,511423,10956,143084,7,8987,32913
2020-06-13,308993,1989610,802828,520129,11458,0,12,8706,30412
2020-06-14,320922,1989610,828810,528964,11929,0,58,8835,25982
2020-06-15,332424,1989610,850514,537210,11502,0,49,8246,21704
2020-06-16,343091,1989610,867624,545458,10667,0,45,8248,17110
2020-06-17,354065,1989610,888271,553301,10974,0,44,7843,20647
2020-06-18,366946,1989610,923189,561091,12881,0,36,7790,34918
2020-06-19,380532,2148427,955377,569063,13586,158817,37,7972,32188
2020-06-20,395048,2148427,978142,576952,14516,0,30,7889,22765
2020-06-21,410461,2148427,1032913,584680,15413,0,27,7728,54771
2020-06-22,425282,2148427,1067579,592280,14821,0,21,7600,34666
2020-06-23,440215,2148427,1085038,599705,14933,0,52,7425,17459
2020-06-24,456183,2148427,1106470,606881,15968,0,28,7176,21432
2020-06-25,473105,2148427,1145906,613994,16922,0,21,7113,39436
2020-06-26,490401,2367671,1188631,620794,17296,219244,29,6800,42725
2020-06-27,508953,2367671,1228114,627646,18552,0,24,6852,39483
2020-06-28,528859,2367671,1274974,634437,19906,0,18,6791,46860
2020-06-29,548318,2367671,1313667,641156,19459,0,14,6719,38693
2020-06-30,566840,2367671,1344143,647849,18522,0,23,6693,30476
2020-07-01,585493,2367671,1368195,654405,18653,0,5,6556,24052
2020-07-02,604641,2367671,1402041,661165,19148,0,31,6760,33846
2020-07-03,625544,2679224,1448753,667883,20903,311553,15,6718,46712
2020-07-04,648315,2679224,1496858,674515,22771,0,9,6632,48105
2020-07-05,673165,2679224,1539081,681251,24850,0,19,6736,42223
2020-07-06,697413,2679224,1577004,687862,24248,0,14,6611,37923
2020-07-07,719665,2679224,1603055,694230,22252,0,25,6368,26051
2020-07-08,742417,2679224,1623284,700792,22752,0,21,6562,20229
2020-07-09,767296,2679224,1668589,707301,24879,0,33,6509,45305
2020-07-10,793802,3048385,1713160,713936,26506,369161,46,6635,44571
2020-07-11,820916,3048385,1755779,720547,27114,0,42,6611,42619
2020-07-12,849553,3048385,1800827,727162,28637,0,35,6615,45048
2020-07-13,878254,3048385,1839850,733699,28701,0,46,6537,39023
2020-07-14,906752,3048385,1864681,739947,28498,0,55,6248,24831
2020-07-15,936181,3048385,1884967,746369,29429,0,54,6422,20286
2020-07-16,968876,3048385,1926824,752797,32695,0,20,6428,41857
2020-07-17,1003832,3488803,1966748,759203,34956,440418,78,6406,39924
2020-07-18,1038716,3488803,2012151,765437,34884,0,82,6234,45403
2020-07-19,1077618,3488803,2046328,771546,38902,0,80,6109,34177
2020-07-20,1118043,3488803,2074860,777486,40425,0,131,5940,28532
2020-07-21,1155191,3488803,2098389,783328,37148,0,84,5842,23529
2020-07-22,1192915,3488803,2118646,789190,37724,0,74,5862,20257
2020-07-23,1238635,3488803,2159654,795038,45720,0,135,5848,41008
2020-07-24,1287945,3954729,2227514,800849,49310,465926,139,5811,67860
2020-07-25,1336861,3954729,2287475,806720,48916,0,160,5871,59961
2020-07-26,1385522,3954729,2343366,812485,48661,0,179,5765,55891
2020-07-27,1435453,3954729,2394513,818120,49931,0,189,5635,51147
2020-07-28,1483156,3954729,2419091,823515,47703,0,217,5395,24578
2020-07-29,1531669,3954729,2442375,828990,48513,0,212,5475,23284
2020-07-30,1583792,3954729,2483191,834499,52123,0,223,5509,40816
2020-07-31,1638870,4404118,2552265,839981,55078,449389,276,5482,69074
2020-08-01,1695988,4404118,2610102,845443,57118,0,166,5462,57837
2020-08-02,1750723,4404118,2662485,850870,54735,0,180,5427,52383
2020-08-03,1803695,4404118,2707877,856264,52972,0,158,5394,45392
2020-08-04,1855745,4404118,2733677,861423,52050,0,114,5159,25800
2020-08-05,1908254,4404118,2750318,866627,52509,0,108,5204,16641
2020-08-06,1964536,4404118,2801921,871894,56282,0,122,5267,51603
2020-08-07,2027074,4800220,2859073,877135,62538,396102,133,5241,57152
2020-08-08,2088611,4800220,2912212,882347,61537,0,120,5212,53139
2020-08-09,2153010,4800220,2962442,887536,64399,0,92,5189,50230
2020-08-10,2215074,4800220,3012412,892654,62064,0,121,5118,49970
2020-08-11,2268675,4800220,3035422,897599,53601,0,113,4945,23010
2020-08-12,2329638,4800220,3057470,902701,60963,0,61,5102,22048
2020-08-13,2396637,4800220,3109630,907758,66999,0,82,5057,52160
