Date.14,Dollar Index (Spot)
2022-10-28,110.752
2022-10-21,112.012
2022-10-14,113.311
2022-10-07,112.795
2022-09-30,112.117
2022-09-23,113.192
2022-09-16,109.764
2022-09-09,109.003
2022-09-02,109.534
2022-08-26,108.803
2022-08-19,108.169
2022-08-12,105.631
2022-08-05,106.621
2022-07-29,105.903
2022-07-22,106.73
2022-07-15,108.063
2022-07-08,107.007
2022-07-01,105.138
2022-06-24,104.185
2022-06-17,104.7
2022-06-10,104.148
2022-06-03,102.14
2022-05-27,101.668
2022-05-20,103.15
2022-05-13,104.563
2022-05-06,103.66
2022-04-29,102.959
2022-04-22,101.22
2022-04-15,100.5
2022-04-08,99.796
2022-04-01,98.632
2022-03-25,98.789
2022-03-18,98.233
2022-03-11,99.124
2022-03-04,98.648
2022-02-25,96.615
2022-02-18,96.043
2022-02-11,96.082
2022-02-04,95.485
2022-01-28,97.27
2022-01-21,95.642
2022-01-14,95.165
2022-01-07,95.719
2021-12-31,95.67
2021-12-24,96.019
2021-12-17,96.565
2021-12-10,96.097
2021-12-03,96.117
2021-11-26,96.089
2021-11-19,96.031
2021-11-12,95.128
2021-11-05,94.32
2021-10-29,94.123
2021-10-22,93.642
2021-10-15,93.937
2021-10-08,94.067
2021-10-01,94.035
2021-09-24,93.327
2021-09-17,93.195
2021-09-10,92.582
2021-09-03,92.035
2021-08-27,92.686
2021-08-20,93.496
2021-08-13,92.518
2021-08-06,92.8
2021-07-30,92.174
2021-07-23,92.912
2021-07-16,92.687
2021-07-09,92.13
2021-07-02,92.226
2021-06-25,91.851
2021-06-18,92.225
2021-06-11,90.555
2021-06-04,90.136
2021-05-28,90.031
2021-05-21,90.017
2021-05-14,90.321
2021-05-07,90.233
2021-04-30,91.28
2021-04-23,90.859
2021-04-16,91.556
2021-04-09,92.163
2021-04-02,93.022
2021-03-26,92.766
2021-03-19,91.919
2021-03-12,91.679
2021-03-05,91.977
2021-02-26,90.879
2021-02-19,90.364
2021-02-12,90.48
2021-02-05,91.042
2021-01-29,90.584
2021-01-22,90.238
2021-01-15,90.772
2021-01-08,90.098
2021-01-01,89.937
2020-12-25,90.223
2020-12-18,90.016
2020-12-11,90.976
2020-12-04,90.701
2020-11-27,91.79
2020-11-20,92.392
2020-11-13,92.755
2020-11-06,92.229
2020-10-30,94.038
2020-10-23,92.768
2020-10-16,93.682
2020-10-09,93.057
2020-10-02,93.844
2020-09-25,94.642
2020-09-18,92.926
2020-09-11,93.333
2020-09-04,92.719
2020-08-28,92.371
2020-08-21,93.247
2020-08-14,93.096
2020-08-07,93.435
2020-07-31,93.349
2020-07-24,94.435
2020-07-17,95.942
2020-07-10,96.652
2020-07-03,97.172
2020-06-26,97.433
2020-06-19,97.623
2020-06-12,97.319
2020-06-05,96.937
2020-05-29,98.344
2020-05-22,99.863
2020-05-15,100.402
2020-05-08,99.734
2020-05-01,99.079
2020-04-24,100.38
2020-04-17,99.782
2020-04-10,99.482
2020-04-03,100.576
2020-03-27,98.365
2020-03-20,102.817
2020-03-13,98.749
2020-03-06,95.951
2020-02-28,98.132
2020-02-21,99.262
2020-02-14,99.124
2020-02-07,98.684
2020-01-31,97.39
2020-01-24,97.853
2020-01-17,97.606
2020-01-10,97.356
2020-01-03,96.838
2019-12-27,96.919
2019-12-20,97.69
2019-12-13,97.172
2019-12-06,97.7
2019-11-29,98.273
2019-11-22,98.27
2019-11-15,97.999
2019-11-08,98.353
2019-11-01,97.239
2019-10-25,97.831
2019-10-18,97.282
2019-10-11,98.301
2019-10-04,98.808
2019-09-27,99.109
2019-09-20,98.513
2019-09-13,98.257
2019-09-06,98.394
2019-08-30,98.916
2019-08-23,97.64
2019-08-16,98.142
2019-08-09,97.491
2019-08-02,98.074
2019-07-26,98.01
2019-07-19,97.151
2019-07-12,96.81
2019-07-05,97.286
2019-06-28,96.13
2019-06-21,96.22
2019-06-14,97.572
2019-06-07,96.544
2019-05-31,97.75
2019-05-24,97.613
2019-05-17,97.995
2019-05-10,97.33
2019-05-03,97.52
2019-04-26,98.006
2019-04-19,97.378
2019-04-12,96.972
2019-04-05,97.395
2019-03-29,97.284
2019-03-22,96.651
2019-03-15,96.595
2019-03-08,97.306
2019-03-01,96.527
2019-02-22,96.507
2019-02-15,96.904
2019-02-08,96.637
2019-02-01,95.579
2019-01-25,95.794
2019-01-18,96.336
2019-01-11,95.67
2019-01-04,96.179
2018-12-28,96.402
2018-12-21,96.956
2018-12-14,97.443
2018-12-07,96.514
2018-11-30,97.272
2018-11-23,96.916
2018-11-16,96.465
2018-11-09,96.905
2018-11-02,96.542
2018-10-26,96.359
2018-10-19,95.713
2018-10-12,95.221
2018-10-05,95.624
2018-09-28,95.132
2018-09-21,94.22
2018-09-14,94.927
2018-09-07,95.365
2018-08-31,95.14
2018-08-24,95.146
2018-08-17,96.101
2018-08-10,96.357
2018-08-03,95.161
2018-07-27,94.669
2018-07-20,94.476
2018-07-13,94.677
2018-07-06,93.963
2018-06-29,94.47
2018-06-22,94.52
2018-06-15,94.788
2018-06-08,93.535
2018-06-01,94.156
2018-05-25,94.253
2018-05-18,93.637
2018-05-11,92.537
2018-05-04,92.566
2018-04-27,91.542
2018-04-20,90.316
2018-04-13,89.8
2018-04-06,90.108
2018-03-30,89.974
2018-03-23,89.436
2018-03-16,90.233
2018-03-09,90.093
2018-03-02,89.935
2018-02-23,89.883
2018-02-16,89.1
2018-02-09,90.442
2018-02-02,89.195
2018-01-26,89.067
2018-01-19,90.572
2018-01-12,90.974
2018-01-05,91.949
